RR Monitoring Started at Mon Aug  4 11:42:48 PM IST 2025
================================================
Timestamp,Domain,Run,TW6,TW7,TW8,TW9,TW10,TW11,TW12,TW13,TW19,TW20,TW21,TW22,TW23,TW24,RR_RTT_ms,Status
2025-08-04 23:47:01,google.com,44,1754331414.485238,1754331414.485462,1754331414.490538,1754331414.490772,,1754331414.491297,,,,,,1754331414.491328,1754331414.493419,1754331414.493425,8.27,SUCCESS
2025-08-04 23:47:02,google.com,45,1754331417.690754,1754331417.691036,1754331417.695450,1754331417.695678,,1754331417.696201,,,,,,1754331417.696231,1754331417.698359,1754331417.698363,7.70,SUCCESS
2025-08-04 23:47:11,google.com,46,1754331420.904103,1754331420.904544,1754331420.913675,1754331420.913951,,1754331420.914595,,,,,,1754331420.914644,1754331420.917049,1754331420.917053,13.03,SUCCESS
2025-08-04 23:47:11,google.com,47,1754331424.115580,1754331424.115891,1754331424.122216,1754331424.122468,,1754331424.123005,,,,,,1754331424.123037,1754331424.125332,1754331424.125338,9.86,SUCCESS
2025-08-04 23:47:12,google.com,48,1754331427.335164,1754331427.335431,1754331427.342151,1754331427.342408,,1754331427.342778,,,,,,1754331427.342798,1754331427.344995,1754331427.344999,9.91,SUCCESS
2025-08-04 23:47:25,google.com,49,1754331430.547839,1754331430.548143,1754331430.553159,1754331430.553384,,1754331430.553911,,,,,,1754331430.553941,1754331430.555864,1754331430.555868,8.09,SUCCESS
2025-08-04 23:47:26,google.com,50,1754331433.784037,1754331433.784345,1754331433.791487,1754331433.791719,,1754331433.792238,,,,,,1754331433.792270,1754331433.794254,1754331433.794261,10.31,SUCCESS
2025-08-04 23:47:26,youtube.com,51,1754331437.012887,1754331437.013114,1754331437.021344,1754331437.021605,,1754331442.268548,,,,,,1754331442.268591,1754331442.270578,1754331442.270582,5257.77,SUCCESS
2025-08-04 23:47:35,youtube.com,52,1754331445.478351,1754331445.478774,1754331445.483537,1754331445.483793,,1754331445.484291,,,,,,1754331445.484325,1754331445.486606,1754331445.486611,8.33,SUCCESS
2025-08-04 23:47:36,youtube.com,53,1754331448.699947,1754331448.700193,1754331448.704513,1754331448.704752,,1754331448.705290,,,,,,1754331448.705323,1754331448.707484,1754331448.707490,7.64,SUCCESS
2025-08-04 23:47:36,youtube.com,54,1754331451.915812,1754331451.916122,1754331451.922675,1754331451.922969,,1754331451.923547,,,,,,1754331451.923587,1754331451.926165,1754331451.926170,10.45,SUCCESS
2025-08-04 23:47:45,youtube.com,55,1754331455.134299,1754331455.134638,1754331455.141020,1754331455.141295,,1754331455.141856,,,,,,1754331455.141892,1754331455.144397,1754331455.144402,10.18,SUCCESS
2025-08-04 23:47:45,youtube.com,56,1754331458.351392,1754331458.351589,1754331458.359491,1754331458.359740,,1754331458.360253,,,,,,1754331458.360283,1754331458.362266,1754331458.362273,10.99,SUCCESS
2025-08-04 23:47:46,youtube.com,57,1754331461.550509,1754331461.550855,1754331461.558776,1754331461.559036,,1754331461.559576,,,,,,1754331461.559608,1754331461.561731,1754331461.561736,11.31,SUCCESS
2025-08-04 23:47:54,youtube.com,58,1754331464.753627,1754331464.753904,1754331464.758971,1754331464.759194,,1754331464.759758,,,,,,1754331464.759789,1754331464.761687,1754331464.761691,8.13,SUCCESS
2025-08-04 23:47:55,youtube.com,59,1754331467.964942,1754331467.965222,1754331467.972624,1754331467.972868,,1754331467.973434,,,,,,1754331467.973468,1754331467.975780,1754331467.975787,10.94,SUCCESS
2025-08-04 23:47:55,youtube.com,60,1754331471.179096,1754331471.179338,1754331471.183883,1754331471.184107,,1754331471.184619,,,,,,1754331471.184651,1754331471.186653,1754331471.186658,7.64,SUCCESS
2025-08-04 23:48:04,youtube.com,61,1754331474.393091,1754331474.393363,1754331474.401011,1754331474.401266,,1754331474.401858,,,,,,1754331474.401902,1754331474.403989,1754331474.403993,10.98,SUCCESS
2025-08-04 23:48:04,youtube.com,62,1754331477.604617,1754331477.604973,1754331477.614417,1754331477.614702,,1754331477.615340,,,,,,1754331477.615425,1754331477.617811,1754331477.617817,13.29,SUCCESS
2025-08-04 23:48:05,youtube.com,63,1754331480.818607,1754331480.818832,1754331480.826712,1754331480.826963,,1754331480.827566,,,,,,1754331480.827608,1754331480.829726,1754331480.829731,11.21,SUCCESS
2025-08-04 23:48:14,youtube.com,64,1754331484.044148,1754331484.044639,1754331484.054329,1754331484.054628,,1754331484.055281,,,,,,1754331484.055337,1754331484.057813,1754331484.057818,13.76,SUCCESS
2025-08-04 23:48:14,youtube.com,65,1754331487.270150,1754331487.270349,1754331487.277458,1754331487.277713,,1754331487.278233,,,,,,1754331487.278264,1754331487.280433,1754331487.280444,10.38,SUCCESS
2025-08-04 23:48:15,youtube.com,66,1754331490.490697,1754331490.490948,1754331490.494906,1754331490.495133,,1754331490.495685,,,,,,1754331490.495717,1754331490.497845,1754331490.497849,7.23,SUCCESS
2025-08-04 23:48:23,youtube.com,67,1754331493.713799,1754331493.714164,1754331493.721814,1754331493.722088,,1754331493.722649,,,,,,1754331493.722687,1754331493.725175,1754331493.725180,11.46,SUCCESS
2025-08-04 23:48:24,youtube.com,68,1754331496.927460,1754331496.927644,1754331496.937284,1754331496.937582,,1754331496.938230,,,,,,1754331496.938277,1754331496.940750,1754331496.940757,13.39,SUCCESS
2025-08-04 23:48:24,youtube.com,69,1754331500.150135,1754331500.150359,1754331500.158179,1754331500.158451,,1754331500.159050,,,,,,1754331500.159096,1754331500.161254,1754331500.161258,11.21,SUCCESS
2025-08-04 23:48:33,youtube.com,70,1754331503.372022,1754331503.372149,1754331503.374714,1754331503.374817,,1754331503.375058,,,,,,1754331503.375078,1754331503.376465,1754331503.376467,4.47,SUCCESS
2025-08-04 23:48:33,youtube.com,71,1754331506.588805,1754331506.589178,1754331506.597529,1754331506.597774,,1754331506.598308,,,,,,1754331506.598343,1754331506.602872,1754331506.602882,14.18,SUCCESS
2025-08-04 23:48:34,youtube.com,72,1754331509.817173,1754331509.817400,1754331509.821017,1754331509.821241,,1754331509.821741,,,,,,1754331509.821772,1754331509.823711,1754331509.823716,6.63,SUCCESS
2025-08-04 23:48:43,youtube.com,73,1754331513.032353,1754331513.032636,1754331513.037913,1754331513.038146,,1754331513.038702,,,,,,1754331513.038732,1754331513.040613,1754331513.040617,8.33,SUCCESS
