RR Monitoring Started at Thu Jul 31 03:21:01 PM IST 2025
================================================
Timestamp,Domain,Run,Type,TW6,TW7,TW8,TW9,TW10,TW11,TW12,TW13,TW14,TW19,TW20,TW21,TW22_ANS_decrypt_end,TW22,TW23,TW24,RR_RTT_ms,PowerDNS_RTT_ms,ANS_RTT_ms,Status
2025-07-31 16:16:35,chatgpt.com,871,Global,1753958793.115100,1753958793.115357,1753958793.120639,1753958793.120914,,1753958793.121555,,,,,,,,1753958793.121597,1753958793.125459,1753958793.125470,10.47,0.65,,SUCCESS
2025-07-31 16:16:46,chatgpt.com,872,Global,1753958796.321841,1753958796.322101,1753958796.328868,1753958796.329142,,1753958796.329782,,,,,,,,1753958796.329821,1753958796.332356,1753958796.332361,10.61,0.65,,SUCCESS
2025-07-31 16:16:47,chatgpt.com,873,Global,1753958799.524332,1753958799.524633,1753958799.535444,1753958799.535780,,1753958799.536397,,,,,,,,1753958799.536439,1753958799.539518,1753958799.539530,15.32,0.63,,SUCCESS
2025-07-31 16:16:47,chatgpt.com,874,Global,1753958802.740911,1753958802.741203,1753958802.749066,1753958802.749345,,1753958802.749962,,,,,,,,1753958802.749999,1753958802.752905,1753958802.752918,12.11,0.63,,SUCCESS
2025-07-31 16:16:56,chatgpt.com,875,Global,1753958805.952183,1753958805.952549,1753958805.957486,1753958805.957743,,1753958805.958329,,,,,,,,1753958805.958368,1753958805.961184,1753958805.961189,9.10,0.60,,SUCCESS
2025-07-31 16:16:56,chatgpt.com,876,Global,1753958809.158951,1753958809.159288,1753958809.164720,1753958809.164997,,1753958809.165710,,,,,,,,1753958809.165756,1753958809.168694,1753958809.168701,9.85,0.73,,SUCCESS
2025-07-31 16:16:57,chatgpt.com,877,Global,1753958812.356717,1753958812.356993,1753958812.366923,1753958812.367224,,1753958812.367876,,,,,,,,1753958812.367921,1753958812.370813,1753958812.370819,14.20,0.66,,SUCCESS
2025-07-31 16:17:08,chatgpt.com,878,Global,1753958815.565068,1753958815.565320,1753958815.575271,1753958815.575597,,1753958815.576298,,,,,,,,1753958815.576346,1753958815.579208,1753958815.579215,14.24,0.60,,SUCCESS
2025-07-31 16:17:09,chatgpt.com,879,Global,1753958818.774871,1753958818.775145,1753958818.780492,1753958818.780753,,1753958818.781327,,,,,,,,1753958818.781362,1753958818.783932,1753958818.783937,9.16,0.58,,SUCCESS
2025-07-31 16:17:09,chatgpt.com,880,Global,1753958821.980875,1753958821.981230,1753958821.988138,1753958821.988477,,1753958821.989077,,,,,,,,1753958821.989115,1753958821.991942,1753958821.991948,11.17,0.61,,SUCCESS
2025-07-31 16:17:10,chatgpt.com,881,Global,1753958825.185570,1753958825.185846,1753958825.193885,1753958825.194127,,1753958825.194741,,,,,,,,1753958825.194788,1753958825.197548,1753958825.197554,12.08,0.63,,SUCCESS
2025-07-31 16:17:18,chatgpt.com,882,Global,1753958828.396228,1753958828.396666,1753958828.410627,1753958828.410920,,1753958828.411534,,,,,,,,1753958828.411587,1753958828.414548,1753958828.414555,18.43,0.63,,SUCCESS
2025-07-31 16:17:19,chatgpt.com,883,Global,1753958831.600259,1753958831.600563,1753958831.611746,1753958831.612041,,1753958831.612606,,,,,,,,1753958831.612730,1753958831.615807,1753958831.615815,15.65,0.57,,SUCCESS
2025-07-31 16:17:19,chatgpt.com,884,Global,1753958834.814425,1753958834.814779,1753958834.824264,1753958834.824552,,1753958834.825183,,,,,,,,1753958834.825235,1753958834.828552,1753958834.828567,14.25,0.65,,SUCCESS
2025-07-31 16:17:28,chatgpt.com,885,Global,1753958838.031438,1753958838.031705,1753958838.036910,1753958838.037181,,1753958838.037817,,,,,,,,1753958838.037858,1753958838.040690,1753958838.040696,9.35,0.65,,SUCCESS
2025-07-31 16:17:28,chatgpt.com,886,Global,1753958841.231925,1753958841.232223,1753958841.240374,1753958841.240627,,1753958841.241208,,,,,,,,1753958841.241259,1753958841.244000,1753958841.244006,12.18,0.60,,SUCCESS
2025-07-31 16:17:29,chatgpt.com,887,Global,1753958844.441614,1753958844.441963,1753958844.452034,1753958844.452332,,1753958844.452980,,,,,,,,1753958844.453021,1753958844.456184,1753958844.456196,14.69,0.66,,SUCCESS
2025-07-31 16:17:40,chatgpt.com,888,Global,1753958847.657381,1753958847.657765,1753958847.665900,1753958847.666175,,1753958847.666822,,,,,,,,1753958847.666865,1753958847.670103,1753958847.670115,12.95,0.66,,SUCCESS
2025-07-31 16:17:41,chatgpt.com,889,Global,1753958850.863726,1753958850.863995,1753958850.873907,1753958850.874182,,1753958850.874840,,,,,,,,1753958850.874882,1753958850.878078,1753958850.878093,14.47,0.67,,SUCCESS
2025-07-31 16:17:41,chatgpt.com,890,Global,1753958854.075266,1753958854.075573,1753958854.083615,1753958854.083930,,1753958854.084387,,,,,,,,1753958854.084413,1753958854.087158,1753958854.087163,11.98,0.46,,SUCCESS
2025-07-31 16:17:42,chatgpt.com,891,Global,1753958857.279350,1753958857.279571,1753958857.287143,1753958857.287373,,1753958857.287968,,,,,,,,1753958857.288017,1753958857.291042,1753958857.291060,11.82,0.61,,SUCCESS
2025-07-31 16:17:50,chatgpt.com,892,Global,1753958860.496292,1753958860.496745,1753958860.508263,1753958860.508569,,1753958860.509155,,,,,,,,1753958860.509204,1753958860.512200,1753958860.512206,16.00,0.60,,SUCCESS
2025-07-31 16:17:51,chatgpt.com,893,Global,1753958863.705844,1753958863.706136,1753958863.716496,1753958863.716753,,1753958863.717309,,,,,,,,1753958863.717360,1753958863.720455,1753958863.720481,14.75,0.58,,SUCCESS
2025-07-31 16:17:51,chatgpt.com,894,Global,1753958866.917083,1753958866.917310,1753958866.922703,1753958866.922977,,1753958866.923626,,,,,,,,1753958866.923667,1753958866.926860,1753958866.926872,9.90,0.66,,SUCCESS
2025-07-31 16:18:03,chatgpt.com,895,Global,1753958870.125806,1753958870.126101,1753958870.135126,1753958870.135512,,1753958870.650697,,,,,,,,1753958870.650745,1753958870.653202,1753958870.653208,527.48,515.20,,SUCCESS
2025-07-31 16:18:04,chatgpt.com,896,Global,1753958873.855328,1753958873.855624,1753958873.865935,1753958873.866234,,1753958873.866935,,,,,,,,1753958873.866981,1753958873.869908,1753958873.869913,14.68,0.71,,SUCCESS
2025-07-31 16:18:05,chatgpt.com,897,Global,1753958877.059569,1753958877.059717,1753958877.067529,1753958877.067771,,1753958877.068333,,,,,,,,1753958877.068384,1753958877.071201,1753958877.071212,11.74,0.58,,SUCCESS
2025-07-31 16:18:05,chatgpt.com,898,Global,1753958880.270013,1753958880.270212,1753958880.275137,1753958880.275398,,1753958880.275992,,,,,,,,1753958880.276028,1753958880.278622,1753958880.278627,8.71,0.61,,SUCCESS
