timestamp,domain,run,query_time_ms,query_size,response_size,resolver,error
2025-09-02T07:13:00.098783,cloudflare.com,28,2.41,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.114898,cloudflare.com,29,2.41,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.130807,cloudflare.com,30,2.34,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.146540,cloudflare.com,31,2.54,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.162727,cloudflare.com,32,2.45,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.178730,cloudflare.com,33,2.33,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.194884,cloudflare.com,34,2.35,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.210871,cloudflare.com,35,2.37,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.226626,cloudflare.com,36,2.54,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.242359,cloudflare.com,37,2.56,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.258420,cloudflare.com,38,2.57,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.274708,cloudflare.com,39,2.39,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.290616,cloudflare.com,40,2.32,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.306709,cloudflare.com,41,2.34,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.323552,cloudflare.com,42,2.53,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.339638,cloudflare.com,43,2.35,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.355715,cloudflare.com,44,2.42,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.372742,cloudflare.com,45,2.33,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.389867,cloudflare.com,46,2.34,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.405967,cloudflare.com,47,2.34,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.421602,cloudflare.com,48,2.32,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.440667,cloudflare.com,49,2.32,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.456700,cloudflare.com,50,2.3,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.472762,cloudflare.com,51,2.3,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.488946,cloudflare.com,52,2.3,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.505891,cloudflare.com,53,2.32,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.523734,cloudflare.com,54,2.36,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.540018,cloudflare.com,55,2.36,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.557608,cloudflare.com,56,2.29,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.573965,cloudflare.com,57,2.36,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.590614,cloudflare.com,58,2.28,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.607461,cloudflare.com,59,2.57,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.623704,cloudflare.com,60,2.36,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.639748,cloudflare.com,61,2.33,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.656127,cloudflare.com,62,2.54,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.674832,cloudflare.com,63,2.36,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.690670,cloudflare.com,64,2.34,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.708123,cloudflare.com,65,2.43,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.724499,cloudflare.com,66,2.47,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.741137,cloudflare.com,67,2.49,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.757502,cloudflare.com,68,2.55,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.774892,cloudflare.com,69,2.33,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.790944,cloudflare.com,70,2.34,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.808812,cloudflare.com,71,2.33,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.824920,cloudflare.com,72,2.32,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.843906,cloudflare.com,73,2.35,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.859601,cloudflare.com,74,2.33,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.877128,cloudflare.com,75,2.44,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.895403,cloudflare.com,76,2.67,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.911987,cloudflare.com,77,2.34,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.928127,cloudflare.com,78,2.44,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.944906,cloudflare.com,79,2.35,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.961393,cloudflare.com,80,2.58,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.977897,cloudflare.com,81,2.36,26,40,dnscrypt-proxy,
